nom,prix,prix_clean,categorie_prix,adresse,ville,url_image,date_nettoyage,fichier_source
Chat Siamois,Prix sur demande,,Non spécifié,"Fann, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1899735_uploaded_image1_1586139854.78.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Dindon rouge,30 000CFA,30000.0,Bas (< 50k),"Mermoz-Sacré-Cœur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Chat siamois,350 000CFA,350000.0,Très élevé (> 200k),"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Bœuf,600 000CFA,600000.0,Très élevé (> 200k),"Keur Massar, Sénégal",Autre,https://images.coinafrique.com/thumb_1606230_uploaded_image1_1581008311.59.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Boeufs,750 000CFA,750000.0,Très élevé (> 200k),"Tambacounda, Sénégal",Tambacounda,https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Couple de chèvre,Prix sur demande,,Non spécifié,"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1521675_uploaded_image1_1579700066.65.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Vaches,275 000CFA,275000.0,Très élevé (> 200k),"Rufisque, Sénégal",Autre,https://images.coinafrique.com/thumb_1500655_uploaded_image1_1579358078.9.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Bœuf,700 000CFA,700000.0,Très élevé (> 200k),"Saint Louis, Sénégal",Autre,https://images.coinafrique.com/thumb_1495773_uploaded_image1_1579276951.77.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Dindes - canards et colverts,Prix sur demande,,Non spécifié,"Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1490889_uploaded_image1_1579188174.8.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Biscuit en poudre pour betail,4 000CFA,4000.0,Bas (< 50k),"Patte d'oie, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,"Point E, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,"Point E, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1453830_uploaded_image1_1578583361.91.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Perruches,Prix sur demande,,Non spécifié,"Mermoz-Sacré-Cœur, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1441558_uploaded_image1_1578406878.24.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Oies toulouse,Prix sur demande,,Non spécifié,"Fass, Dakar, Sénégal",Dakar,https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
Cheval,400 000CFA,400000.0,Très élevé (> 200k),"Fatick, Sénégal",Fatick,https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png,2026-02-26 23:10:29,coinAfrique_autres_animaux.csv
