web_scraper_order,web_scraper_start_url,prix,nom,adresse,url_image
"1772096760-360","https://sn.coinafrique.com/categorie/moutons?page=12","195 000CFA","Moutons","Dakar, Sénégal","https://images.coinafrique.com/thumb_2431074_uploaded_image1_1594580584.jpg"
"1772096760-361","https://sn.coinafrique.com/categorie/moutons?page=12","400 000CFA","Mouton","Sénégal","https://images.coinafrique.com/thumb_2429932_uploaded_image1_1594557484.21.jpeg"
"1772096760-362","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2429746_uploaded_image1_1594553525.jpg"
"1772096760-363","https://sn.coinafrique.com/categorie/moutons?page=12","500 000CFA","Mouton","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2429176_uploaded_image1_1594537800.jpg"
"1772096760-364","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2428888_uploaded_image1_1594515825.29.jpeg"
"1772096760-365","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2428886_uploaded_image1_1594515782.61.jpeg"
"1772096760-366","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2428884_uploaded_image1_1594515746.06.jpeg"
"1772096760-367","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Moutons","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2428879_uploaded_image1_1594515700.68.jpeg"
"1772096760-368","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2428876_uploaded_image1_1594515661.97.jpeg"
"1772096760-369","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2428874_uploaded_image1_1594515632.97.jpeg"
"1772096760-370","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Moutons","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2428870_uploaded_image1_1594515612.7.jpeg"
"1772096760-371","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Moutons","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2428685_uploaded_image1_1594511378.jpg"
"1772096760-372","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Moutons Tabaski","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2428640_uploaded_image1_1594509723.jpg"
"1772096760-373","https://sn.coinafrique.com/categorie/moutons?page=12","270CFA","Mouton","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2428521_uploaded_image1_1594506196.jpg"
"1772096760-374","https://sn.coinafrique.com/categorie/moutons?page=12","285 000CFA","Moutons","Dakar, Sénégal","https://images.coinafrique.com/thumb_2428203_uploaded_image1_1594498292.jpg"
"1772096760-375","https://sn.coinafrique.com/categorie/moutons?page=12","950 000CFA","Mouton","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2427908_uploaded_image1_1594489005.jpg"
"1772096760-376","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Béliers","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2427663_uploaded_image1_1594484233.jpg"
"1772096760-377","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2427580_uploaded_image1_1594482810.jpg"
